Code,Address,City,State
LLB,"JUAREZ-LINCOLN BRIDGE, TX",Juarez-lincoln Bridge, TX
LCB,"LAREDO COLUMBIA BRIDGE, TX",Laredo Columbia Bridge, TX
LRN,"LAREDO NORTH, TX",Laredo North, TX
LAR,"LAREDO, TX",Laredo, TX
LSE,"LOS EBANOS, TX",Los Ebanos, TX
IND,"LOS INDIOS, TX",Los Indios, TX
LOI,"LOS INDIOS, TX",Los Indios, TX
MRS,"MARFA, TX (BPS)",Marfa, TX (BPS)
MCA,"MCALLEN, TX",Mcallen, TX
MAF,"ODESSA REGIONAL, TX",Odessa Regional, TX
PDN,"PASO DEL NORTE,TX",Paso Del Norte,TX
PBB,"PEACE BRIDGE, NY",Peace Bridge, NY
PHR,"PHARR, TX",Pharr, TX
PAR,"PORT ARTHUR, TX",Port Arthur, TX
ISB,"PORT ISABEL, TX",Port Isabel, TX
POE,"PORT OF EL PASO, TX",Port Of El Paso, TX
PRE,"PRESIDIO, TX",Presidio, TX
PGR,"PROGRESO, TX",Progreso, TX
RIO,"RIO GRANDE CITY, TX",Rio Grande City, TX
ROM,"ROMA, TX",Roma, TX
SNA,"SAN ANTONIO, TX",San Antonio, TX
SNN,"SANDERSON, TX",Sanderson, TX
VIB,"VETERAN INTL BRIDGE, TX",Veteran Intl Bridge, TX
YSL,"YSLETA, TX",Ysleta, TX
CHA,"CHARLOTTE AMALIE, VI",Charlotte Amalie, VI
CHR,"CHRISTIANSTED, VI",Christiansted, VI
CRU,"CRUZ BAY, ST JOHN, VI","Cruz Bay, St John, Vi","CRUZ BAY, ST JOHN, VI"
FRK,"FREDERIKSTED, VI",Frederiksted, VI
STT,"ST THOMAS, VI",St Thomas, VI
LGU,"CACHE AIRPORT - LOGAN, UT",Cache Airport - Logan, UT
SLC,"SALT LAKE CITY, UT",Salt Lake City, UT
CHO,"ALBEMARLE CHARLOTTESVILLE, VA",Albemarle Charlottesville, VA
DAA,"DAVISON AAF - FAIRFAX CNTY, VA",Davison Aaf - Fairfax Cnty, VA
HOP,"HOPEWELL, VA",Hopewell, VA
HEF,"MANASSAS, VA #ARPT",Manassas, VA #ARPT
NWN,"NEWPORT, VA",Newport, VA
NOR,"NORFOLK, VA",Norfolk, VA
RCM,"RICHMOND, VA",Richmond, VA
ABS,"ALBURG SPRINGS, VT",Alburg Springs, VT
ABG,"ALBURG, VT",Alburg, VT
BEB,"BEEBE PLAIN, VT",Beebe Plain, VT
BEE,"BEECHER FALLS, VT",Beecher Falls, VT
BRG,"BURLINGTON, VT",Burlington, VT
CNA,"CANAAN, VT",Canaan, VT
DER,"DERBY LINE, VT (I-91)",Derby Line, VT (I-91)
DLV,"DERBY LINE, VT (RT. 5)",Derby Line, VT (RT. 5)
ERC,"EAST RICHFORD, VT",East Richford, VT
HIG,"HIGHGATE SPRINGS, VT",Highgate Springs, VT
MOR,"MORSES LINE, VT",Morses Line, VT
NPV,"NEWPORT, VT",Newport, VT
NRT,"NORTH TROY, VT",North Troy, VT
NRN,"NORTON, VT",Norton, VT
PIV,"PINNACLE ROAD, VT",Pinnacle Road, VT
RIF,"RICHFORT, VT",Richfort, VT
STA,"ST ALBANS, VT",St Albans, VT
SWB,"SWANTON, VT (BP - SECTOR HQ)",Swanton, VT (BP - SECTOR HQ)
WBE,"WEST BERKSHIRE, VT",West Berkshire, VT
ABE,"ABERDEEN, WA",Aberdeen, WA
ANA,"ANACORTES, WA",Anacortes, WA
BEL,"BELLINGHAM, WA",Bellingham, WA
BLI,"BELLINGHAM, WASHINGTON #INTL",Bellingham, WASHINGTON #INTL
BLA,"BLAINE, WA",Blaine, WA
BWA,"BOUNDARY, WA",Boundary, WA
CUR,"CURLEW, WA (BPS)",Curlew, WA (BPS)
DVL,"DANVILLE, WA",Danville, WA
EVE,"EVERETT, WA",Everett, WA
FER,"FERRY, WA",Ferry, WA
FRI,"FRIDAY HARBOR, WA",Friday Harbor, WA
FWA,"FRONTIER, WA",Frontier, WA
KLM,"KALAMA, WA",Kalama, WA
LAU,"LAURIER, WA",Laurier, WA
LON,"LONGVIEW, WA",Longview, WA
MET,"METALINE FALLS, WA",Metaline Falls, WA
MWH,"MOSES LAKE GRANT COUNTY ARPT, WA",Moses Lake Grant County Arpt, WA
NEA,"NEAH BAY, WA",Neah Bay, WA
NIG,"NIGHTHAWK, WA",Nighthawk, WA
OLY,"OLYMPIA, WA",Olympia, WA
ORO,"OROVILLE, WA",Oroville, WA
PWB,"PASCO, WA",Pasco, WA
PIR,"POINT ROBERTS, WA",Point Roberts, WA
PNG,"PORT ANGELES, WA",Port Angeles, WA
PTO,"PORT TOWNSEND, WA",Port Townsend, WA
SEA,"SEATTLE, WA",Seattle, WA
SPO,"SPOKANE, WA",Spokane, WA
SUM,"SUMAS, WA",Sumas, WA
TAC,"TACOMA, WA",Tacoma, WA
PSC,"TRI-CITIES - PASCO, WA",Tri-cities - Pasco, WA
VAN,"VANCOUVER, WA",Vancouver, WA
AGM,"ALGOMA, WI",Algoma, WI
BAY,"BAYFIELD, WI",Bayfield, WI
GRB,"GREEN BAY, WI",Green Bay, WI
MNW,"MANITOWOC, WI",Manitowoc, WI
MIL,"MILWAUKEE, WI",Milwaukee, WI
MSN,"TRUAX FIELD - DANE COUNTY, WI",Truax Field - Dane County, WI
CHS,"CHARLESTON, WV",Charleston, WV
CLK,"CLARKSBURG, WV",Clarksburg, WV
BLF,"MERCER COUNTY, WV",Mercer County, WV
CSP,"CASPER, WY",Casper, WY
XXX,NOT REPORTED/UNKNOWN,Not Reported/unknown,NOT REPORTED/UNKNOWN
888,UNIDENTIFED AIR / SEAPORT,Unidentifed Air / Seaport,UNIDENTIFED AIR / SEAPORT
UNK,UNKNOWN POE,Unknown Poe,UNKNOWN POE
CLG,"CALGARY, CANADA",Calgary, CANADA
EDA,"EDMONTON, CANADA",Edmonton, CANADA
YHC,"HAKAI PASS, CANADA",Hakai Pass, CANADA
HAL,"Halifax, NS, Canada","Halifax, Ns, Canada","Halifax, NS, Canada"
MON,"MONTREAL, CANADA",Montreal, CANADA
OTT,"OTTAWA, CANADA",Ottawa, CANADA
YXE,"SASKATOON, CANADA",Saskatoon, CANADA
TOR,"TORONTO, CANADA",Toronto, CANADA
VCV,"VANCOUVER, CANADA",Vancouver, CANADA
VIC,"VICTORIA, CANADA",Victoria, CANADA
WIN,"WINNIPEG, CANADA",Winnipeg, CANADA
AMS,"AMSTERDAM-SCHIPHOL, NETHERLANDS",Amsterdam-schiphol, NETHERLANDS
ARB,"ARUBA, NETH ANTILLES",Aruba, NETH ANTILLES
BAN,"BANKOK, THAILAND",Bankok, THAILAND
BEI,"BEICA #ARPT, ETHIOPIA",Beica #arpt, ETHIOPIA
PEK,"BEIJING CAPITAL INTL, PRC",Beijing Capital Intl, PRC
BDA,"KINDLEY FIELD, BERMUDA",Kindley Field, BERMUDA
BOG,"BOGOTA, EL DORADO #ARPT, COLOMBIA","Bogota, El Dorado #arpt, Colombia","BOGOTA, EL DORADO #ARPT, COLOMBIA"
EZE,"BUENOS AIRES, MINISTRO PIST, ARGENTINA","Buenos Aires, Ministro Pist, Argentina","BUENOS AIRES, MINISTRO PIST, ARGENTINA"
CUN,"CANCUN, MEXICO",Cancun, MEXICO
CRQ,"CARAVELAS, BA #ARPT, BRAZIL","Caravelas, Ba #arpt, Brazil","CARAVELAS, BA #ARPT, BRAZIL"
MVD,"CARRASCO, URUGUAY",Carrasco, URUGUAY
DUB,"DUBLIN, IRELAND",Dublin, IRELAND
FOU,"FOUGAMOU #ARPT, GABON",Fougamou #arpt, GABON
FBA,"FREEPORT, BAHAMAS",Freeport, BAHAMAS
MTY,"GEN M. ESCOBEDO, Monterrey, MX","Gen M. Escobedo, Monterrey, Mx","GEN M. ESCOBEDO, Monterrey, MX"
HMO,"GEN PESQUEIRA GARCIA, MX",Gen Pesqueira Garcia, MX
GCM,"GRAND CAYMAN, CAYMAN ISLAND",Grand Cayman, CAYMAN ISLAND
GDL,"GUADALAJARA, MIGUEL HIDAL, MX","Guadalajara, Miguel Hidal, Mx","GUADALAJARA, MIGUEL HIDAL, MX"
HAM,"HAMILTON, BERMUDA",Hamilton, BERMUDA
ICN,"INCHON, SEOUL KOREA",Inchon, SEOUL KOREA
IWA,"INVALID - IWAKUNI, JAPAN",Invalid - Iwakuni, JAPAN
CND,"KOGALNICEANU, ROMANIA",Kogalniceanu, ROMANIA
LAH,"LABUHA ARPT, INDONESIA",Labuha Arpt, INDONESIA
DUR,"LOUIS BOTHA, SOUTH AFRICA",Louis Botha, SOUTH AFRICA
MAL,"MANGOLE ARPT, INDONESIA",Mangole Arpt, INDONESIA
MDE,"MEDELLIN, COLOMBIA",Medellin, COLOMBIA
MEX,"JUAREZ INTL, MEXICO CITY, MX","Juarez Intl, Mexico City, Mx","JUAREZ INTL, MEXICO CITY, MX"
LHR,"MIDDLESEX, ENGLAND",Middlesex, ENGLAND
NBO,"NAIROBI, KENYA",Nairobi, KENYA
NAS,"NASSAU, BAHAMAS",Nassau, BAHAMAS
NCA,"NORTH CAICOS, TURK & CAIMAN",North Caicos, TURK & CAIMAN
PTY,"OMAR TORRIJOS, PANAMA",Omar Torrijos, PANAMA
SPV,"PAPUA, NEW GUINEA",Papua, NEW GUINEA
UIO,"QUITO (MARISCAL SUCR), ECUADOR",Quito (mariscal Sucr), ECUADOR
RIT,"ROME, ITALY",Rome, ITALY
SNO,"SAKON NAKHON #ARPT, THAILAND",Sakon Nakhon #arpt, THAILAND
SLP,"SAN LUIS POTOSI #ARPT, MEXICO",San Luis Potosi #arpt, MEXICO
SAN,"SAN SALVADOR, EL SALVADOR",San Salvador, EL SALVADOR
SRO,"SANTANA RAMOS #ARPT, COLOMBIA",Santana Ramos #arpt, COLOMBIA
GRU,"GUARULHOS INTL, SAO PAULO, BRAZIL","Guarulhos Intl, Sao Paulo, Brazil","GUARULHOS INTL, SAO PAULO, BRAZIL"
SHA,"SHANNON, IRELAND",Shannon, IRELAND
HIL,"SHILLAVO, ETHIOPIA",Shillavo, ETHIOPIA
TOK,"TOROKINA #ARPT, PAPUA, NEW GUINEA","Torokina #arpt, Papua, New Guinea","TOROKINA #ARPT, PAPUA, NEW GUINEA"
VER,"VERACRUZ, MEXICO",Veracruz, MEXICO
LGW,"WEST SUSSEX, ENGLAND",West Sussex, ENGLAND
ZZZ,MEXICO Land (Banco de Mexico),Mexico Land (banco De Mexico),MEXICO Land (Banco de Mexico)
CHN,No PORT Code (CHN),No Port Code (chn),No PORT Code (CHN)
CNC,"CANNON CORNERS, NY",Cannon Corners, NY
MAA,Abu Dhabi,Abu Dhabi,Abu Dhabi
AG0,"MAGNOLIA, AR",Magnolia, AR
BHM,"BAR HARBOR, ME",Bar Harbor, ME
BHX,"BIRMINGHAM, AL",Birmingham, AL
CAK,"AKRON, OH",Akron, OH
FOK,"SUFFOLK COUNTY, NY",Suffolk County, NY
LND,"LANDER, WY",Lander, WY
MAR,"MARFA, TX",Marfa, TX
MLI,"MOLINE, IL",Moline, IL
RIV,"RIVERSIDE, CA",Riverside, CA
RME,"ROME, NY",Rome, NY
VNY,"VAN NUYS, CA",Van Nuys, CA
YUM,"YUMA, AZ",Yuma, AZ
FRG,Collapsed (FOK) 06/15,Collapsed (fok) 06/15,Collapsed (FOK) 06/15
HRL,Collapsed (HLG) 06/15,Collapsed (hlg) 06/15,Collapsed (HLG) 06/15
ISP,Collapsed (FOK) 06/15,Collapsed (fok) 06/15,Collapsed (FOK) 06/15
JSJ,Collapsed (SAJ) 06/15,Collapsed (saj) 06/15,Collapsed (SAJ) 06/15
BUS,Collapsed (BUF) 06/15,Collapsed (buf) 06/15,Collapsed (BUF) 06/15
IAG,Collapsed (NIA) 06/15,Collapsed (nia) 06/15,Collapsed (NIA) 06/15
PHN,Collapsed (PHU) 06/15,Collapsed (phu) 06/15,Collapsed (PHU) 06/15
STN,Collapsed (STR) 06/15,Collapsed (str) 06/15,Collapsed (STR) 06/15
VMB,Collapsed (VNB) 06/15,Collapsed (vnb) 06/15,Collapsed (VNB) 06/15
T01,Collapsed (SEA) 06/15,Collapsed (sea) 06/15,Collapsed (SEA) 06/15
PHF,No PORT Code (PHF),No Port Code (phf),No PORT Code (PHF)
DRV,No PORT Code (DRV),No Port Code (drv),No PORT Code (DRV)
FTB,No PORT Code (FTB),No Port Code (ftb),No PORT Code (FTB)
GAC,No PORT Code (GAC),No Port Code (gac),No PORT Code (GAC)
GMT,No PORT Code (GMT),No Port Code (gmt),No PORT Code (GMT)
JFA,No PORT Code (JFA),No Port Code (jfa),No PORT Code (JFA)
JMZ,No PORT Code (JMZ),No Port Code (jmz),No PORT Code (JMZ)
NC8,No PORT Code (NC8),No Port Code (nc8),No PORT Code (NC8)
NYL,No PORT Code (NYL),No Port Code (nyl),No PORT Code (NYL)
OAI,No PORT Code (OAI),No Port Code (oai),No PORT Code (OAI)
PCW,No PORT Code (PCW),No Port Code (pcw),No PORT Code (PCW)
WA5,No PORT Code (WAS),No Port Code (was),No PORT Code (WAS)
WTR,No PORT Code (WTR),No Port Code (wtr),No PORT Code (WTR)
X96,No PORT Code (X96),No Port Code (x96),No PORT Code (X96)
XNA,No PORT Code (XNA),No Port Code (xna),No PORT Code (XNA)
YGF,No PORT Code (YGF),No Port Code (ygf),No PORT Code (YGF)
5T6,No PORT Code (5T6),No Port Code (5t6),No PORT Code (5T6)
060,No PORT Code (60),No Port Code (60),No PORT Code (60)
SP0,No PORT Code (SP0),No Port Code (sp0),No PORT Code (SP0)
W55,No PORT Code (W55),No Port Code (w55),No PORT Code (W55)
X44,No PORT Code (X44),No Port Code (x44),No PORT Code (X44)
AUH,No PORT Code (AUH),No Port Code (auh),No PORT Code (AUH)
RYY,No PORT Code (RYY),No Port Code (ryy),No PORT Code (RYY)
SUS,No PORT Code (SUS),No Port Code (sus),No PORT Code (SUS)
74S,No PORT Code (74S),No Port Code (74s),No PORT Code (74S)
ATW,No PORT Code (ATW),No Port Code (atw),No PORT Code (ATW)
CPX,No PORT Code (CPX),No Port Code (cpx),No PORT Code (CPX)
MTH,No PORT Code (MTH),No Port Code (mth),No PORT Code (MTH)
PFN,No PORT Code (PFN),No Port Code (pfn),No PORT Code (PFN)
SCH,No PORT Code (SCH),No Port Code (sch),No PORT Code (SCH)
ASI,No PORT Code (ASI),No Port Code (asi),No PORT Code (ASI)
BKF,No PORT Code (BKF),No Port Code (bkf),No PORT Code (BKF)
DAY,No PORT Code (DAY),No Port Code (day),No PORT Code (DAY)
Y62,No PORT Code (Y62),No Port Code (y62),No PORT Code (Y62)
AG,No PORT Code (AG),No Port Code (ag),No PORT Code (AG)
BCM,No PORT Code (BCM),No Port Code (bcm),No PORT Code (BCM)
DEC,No PORT Code (DEC),No Port Code (dec),No PORT Code (DEC)
PLB,No PORT Code (PLB),No Port Code (plb),No PORT Code (PLB)
CXO,No PORT Code (CXO),No Port Code (cxo),No PORT Code (CXO)
JBQ,No PORT Code (JBQ),No Port Code (jbq),No PORT Code (JBQ)
JIG,No PORT Code (JIG),No Port Code (jig),No PORT Code (JIG)
OGS,No PORT Code (OGS),No Port Code (ogs),No PORT Code (OGS)
TIW,No PORT Code (TIW),No Port Code (tiw),No PORT Code (TIW)
OTS,No PORT Code (OTS),No Port Code (ots),No PORT Code (OTS)
AMT,No PORT Code (AMT),No Port Code (amt),No PORT Code (AMT)
EGE,No PORT Code (EGE),No Port Code (ege),No PORT Code (EGE)
GPI,No PORT Code (GPI),No Port Code (gpi),No PORT Code (GPI)
NGL,No PORT Code (NGL),No Port Code (ngl),No PORT Code (NGL)
OLM,No PORT Code (OLM),No Port Code (olm),No PORT Code (OLM)
.GA,No PORT Code (.GA),No Port Code (.ga),No PORT Code (.GA)
CLX,No PORT Code (CLX),No Port Code (clx),No PORT Code (CLX)
CP,No PORT Code (CP),No Port Code (cp),No PORT Code (CP)
FSC,No PORT Code (FSC),No Port Code (fsc),No PORT Code (FSC)
NK,No PORT Code (NK),No Port Code (nk),No PORT Code (NK)
ADU,No PORT Code (ADU),No Port Code (adu),No PORT Code (ADU)
AKT,No PORT Code (AKT),No Port Code (akt),No PORT Code (AKT)
LIT,No PORT Code (LIT),No Port Code (lit),No PORT Code (LIT)
A2A,No PORT Code (A2A),No Port Code (a2a),No PORT Code (A2A)
OSN,No PORT Code (OSN),No Port Code (osn),No PORT Code (OSN)
